fulcrum_id,q1_site,q2_district,survey_site,deidentified_village,q6_communities,q7_protected_area,q8_travel_time_muncipal_admin,q9_public_trans_freq,q10_time_dist_headquarter,q11_walk_time_all_weather_road,q12_travel_time_higher_secondary,q13_subcenter_walk_time,q14_phc_travel_time,q15_taluk_hosp,q16_priv_clinic,q17_priv_hospital,q18_regular_electric,q19_solar_supply,q20_avg_pow_sup,q21_drinking_water_yard,q22_no_public_tanks,hand_pump,spring_water,q24_surface,q25_water_collect_time,q26_ro_plant,q27_non_tribal,q28_tribal_population,latitude,longitude
792b5f41-e526-4d8f-a43d-206e0bc44239,Kerala,wayanad,Wayanad,WayanadC156,tribal,Inside,30,4,150,2,30,15,5,60,30,60,100,0,24,0,1,,100,0,5,0,0.0,51,11.90169662,76.02379337
a493f11c-dca2-4b1b-b330-e94fcd5dd6c7,Kerala,wayanad,Wayanad,WayanadO522,tribal,Inside,60,0,105,10,30,30,30,60,30,60,100,0,24,100,0,,100,0,10,0,0.0,236,11.95670258,76.06870327
bc3c0acc-3ea0-450c-a0a5-e660cfa912d1,Kerala,wayanad,Wayanad,WayanadK663,mix,Inside,45,4,165,2,15,15,15,75,45,75,100,0,24,100,0,,0,0,5,0,18.0,49,11.90472369,76.0049713
a23c7b00-91f5-43a4-a99d-5c9961a0bc58,Kerala,wayanad,Wayanad,WayanadH350,tribal,Inside,50,0,180,30,50,30,45,105,50,105,100,0,24,70,0,,100,0,5,0,0.0,167,11.93358827,76.0348947
6470bd72-27ca-43df-91b5-6089d5cf925a,Kerala,wayanad,Wayanad,WayanadG579,tribal,Outside,45,0,135,2,20,30,45,60,45,60,100,0,24,100,0,,0,0,5,0,0.0,64,11.855305,76.037836
8679dafe-a7fa-4f7c-ad2f-f30f72378580,Kerala,wayanad,Wayanad,WayanadL435,tribal,Outside,40,0,130,2,15,45,45,60,45,60,100,0,24,100,0,,100,0,5,0,0.0,294,11.855725,76.036924
426b51a2-ad5e-4126-b2d9-b337379d20dd,Kerala,wayanad,Wayanad,Wayanad`435,tribal,Outside,30,0,120,10,25,20,30,30,30,30,100,0,24,0,0,,100,0,5,0,0.0,22,11.8356862,76.0276955
cc701dbb-504c-4316-aed2-b25cd4952736,Kerala,wayanad,Wayanad,Wayanadc378,mix,Outside,25,0,145,10,25,10,25,55,25,55,60,0,24,0,1,,100,0,2,0,,82,11.88728549,76.04359277
03638d3e-5dc7-4cf6-b016-8a336d885b86,Kerala,wayanad,Wayanad,WayanadR987,tribal,Outside,15,0,110,5,15,15,15,25,15,25,100,0,24,0,0,,100,0,15,0,0.0,88,11.83332148,76.04360484
f96e35a4-a427-4325-84b8-177a53497c7d,Kerala,wayanad,Wayanad,Wayanad^295,tribal,Outside,45,10,165,2,45,45,2,75,45,75,100,0,24,0,0,,100,0,5,0,0.0,199,11.90903574,76.03160966
9145138b-6359-4ace-95cd-fd1873eefb70,Kerala,wayanad,Wayanad,WayanadH812,mix,Outside,60,0,180,30,60,50,35,90,60,90,100,0,24,0,1,,100,0,2,0,10.0,190,11.91761339,76.01836793
92661cfc-2a1f-4d75-80f3-d1c0ace24f47,Kerala,wayanad,Wayanad,WayanadO393,tribal,Outside,10,10,140,5,10,10,10,35,10,35,100,0,24,100,2,,0,0,2,0,0.0,201,11.86507546,76.05833083
49d3802a-0049-4aca-a9fc-022a743c6718,Kerala,wayanad,Wayanad,WayanadJ740,mix,Outside,20,10,90,2,20,5,15,45,20,45,90,0,24,0,0,,100,0,5,0,0.0,40,11.9462601,76.06295798
bb65496d-5590-4ae0-a985-235fff692475,Kerala,wayanad,Wayanad,WayanadF228,mix,Inside,60,20,90,5,10,30,30,45,15,45,100,2,24,30,0,,0,100,0,0,15.0,321,11.83401716,76.0762842
6f8bf6ed-5cf6-46f5-aa5b-9262f6527bbe,Kerala,wayanad,Wayanad,WayanadR304,tribal,Outside,60,0,150,5,60,30,25,90,60,90,20,0,24,0,0,,100,0,10,0,0.0,9,11.93647492,76.0449674
